id,name,locality,city,cuisines,average_cost_for_two,aggregate_rating,rating_text,votes
67,Novikov - Asian Room,"Mayfair Place, Mayfair",London,Asian,70,4.6,Excellent,165
68,Bodean's,"Poland Street, Soho",London,"American, Grill",40,4.6,Excellent,325
69,Pollen Street Social,Mayfair,London,British,120,4.6,Excellent,205
70,COYA,"Piccadilly, Mayfair",London,"Latin American, Peruvian",90,4.7,Excellent,196
71,Amaya,"Motcomb Street, Knightsbridge",London,"Indian, North Indian, Curry",70,4.6,Excellent,182
72,Tapas Brindisa,London Bridge,London,"Spanish, Tapas",50,4.6,Excellent,213
73,The Big Easy,Chelsea,London,"American, Seafood",50,4.6,Excellent,267
74,Roka,"Canada Square, Canary Wharf",London,"Japanese, Sushi",60,4.6,Excellent,153
75,Yalla Yalla,"Brewer Street, Soho",London,"Middle Eastern, Lebanese, Street Food",30,4.6,Excellent,262
76,St John Bar and Restaurant,"Saint John Street, Farringdon",London,British,90,4.6,Excellent,258
77,Opera Tavern,"Catherine Street, Covent Garden",London,"Spanish, Italian, European, Tapas",50,4.6,Excellent,197
78,Pizza Union,Spitalfields,London,"Pizza, Italian",15,4.6,Excellent,170
79,Pachamama,"Hinde Street, Marylebone",London,"Peruvian, Tapas",60,4.6,Excellent,89
80,Berners Tavern,"Berners Street, Fitzrovia",London,"French, British",100,4.6,Excellent,166
81,L'ETO Caffe,"Wardour Street, Soho",London,"Cafe, British",30,4.6,Excellent,130
82,Le Relais de Venise L'Entrecote,"Marleybone Lane, Marylebone",London,"Steak, French",60,4.6,Excellent,240
83,The Churchill Arms,"Kensington Church Street, Kensington",London,Thai,35,4.6,Excellent,221
84,The Clove Club,"Beech Street, Hoxton",London,British,90,4.6,Excellent,100
85,Medlar,Chelsea,London,"French, Modern European",100,4.6,Excellent,119
86,Le Gavroche,"Upper Brook Street, Mayfair",London,French,180,4.6,Excellent,192
87,Sexy Fish,"Berkeley Square, Mayfair",London,"Seafood, Asian",75,4.6,Excellent,90
88,Kanada Ya,"New Compton Street, Covent Garden",London,"Ramen, Japanese",35,4.6,Excellent,114
89,Roka,"North Audley Street, Mayfair",London,"Japanese, Sushi",60,4.6,Excellent,84
90,Gelupo,"Archer Street, Soho",London,"Ice Cream, Desserts",15,4.6,Excellent,167
91,The Ritz Restaurant,"Piccadilly, Mayfair",London,"British, French",200,4.5,Excellent,91
92,Misato,"Wardour Street, Chinatown",London,"Japanese, Sushi",35,4.6,Excellent,151
93,Chez Bruce,"Bellevue Road, Wandsworth Common",London,"French, Modern European",110,4.6,Excellent,168
94,Roka,"Aldwych, Aldwych",London,"Japanese, Sushi",60,4.6,Excellent,60
95,The Social Eating House,"Poland Street, Soho",London,"British, Contemporary",60,4.6,Excellent,94
96,Afghan Kitchen,"Islington Green, Islington",London,Afghan,25,4.6,Excellent,106
97,Great Queen Street,"Great Queen Street, Covent Garden",London,British,60,4.6,Excellent,111
98,Portobello Ristorante Pizzeria,"Ladbroke Road, Notting Hill",London,"Italian, Pizza",45,4.6,Excellent,92
99,Bosphorus Kebabs,"Old Brompton Road, South Kensington",London,"Turkish, Fast Food",15,4.6,Excellent,89
